Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Tipo de profesional;Sí o no;Total
Ambos sexos;Total Nacional;;Fisioterapeuta;TOTAL;100,00
Ambos sexos;Total Nacional;;Fisioterapeuta;Sí;16,81
Ambos sexos;Total Nacional;;Fisioterapeuta;No;83,19
Ambos sexos;Total Nacional;;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Ambos sexos;Total Nacional;;Psicólogo, psicoterapeuta o psiquiatra;Sí;4,77
Ambos sexos;Total Nacional;;Psicólogo, psicoterapeuta o psiquiatra;No;95,23
Ambos sexos;Total Nacional;;Enfermero/a o matrona;TOTAL;100,00
Ambos sexos;Total Nacional;;Enfermero/a o matrona;Sí;15,58
Ambos sexos;Total Nacional;;Enfermero/a o matrona;No;84,42
Ambos sexos;Total Nacional;01 Andalucía;Fisioterapeuta;TOTAL;100,00
Ambos sexos;Total Nacional;01 Andalucía;Fisioterapeuta;Sí;10,33
Ambos sexos;Total Nacional;01 Andalucía;Fisioterapeuta;No;89,67
Ambos sexos;Total Nacional;01 Andalucía;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Ambos sexos;Total Nacional;01 Andalucía;Psicólogo, psicoterapeuta o psiquiatra;Sí;2,46
Ambos sexos;Total Nacional;01 Andalucía;Psicólogo, psicoterapeuta o psiquiatra;No;97,54
Ambos sexos;Total Nacional;01 Andalucía;Enfermero/a o matrona;TOTAL;100,00
Ambos sexos;Total Nacional;01 Andalucía;Enfermero/a o matrona;Sí;6,67
Ambos sexos;Total Nacional;01 Andalucía;Enfermero/a o matrona;No;93,33
Ambos sexos;Total Nacional;02 Aragón;Fisioterapeuta;TOTAL;100,00
Ambos sexos;Total Nacional;02 Aragón;Fisioterapeuta;Sí;14,96
Ambos sexos;Total Nacional;02 Aragón;Fisioterapeuta;No;85,04
Ambos sexos;Total Nacional;02 Aragón;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Ambos sexos;Total Nacional;02 Aragón;Psicólogo, psicoterapeuta o psiquiatra;Sí;3,25
Ambos sexos;Total Nacional;02 Aragón;Psicólogo, psicoterapeuta o psiquiatra;No;96,75
Ambos sexos;Total Nacional;02 Aragón;Enfermero/a o matrona;TOTAL;100,00
Ambos sexos;Total Nacional;02 Aragón;Enfermero/a o matrona;Sí;7,88
Ambos sexos;Total Nacional;02 Aragón;Enfermero/a o matrona;No;92,12
Ambos sexos;Total Nacional;03 Asturias, Principado de;Fisioterapeuta;TOTAL;100,00
Ambos sexos;Total Nacional;03 Asturias, Principado de;Fisioterapeuta;Sí;24,46
Ambos sexos;Total Nacional;03 Asturias, Principado de;Fisioterapeuta;No;75,54
Ambos sexos;Total Nacional;03 Asturias, Principado de;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Ambos sexos;Total Nacional;03 Asturias, Principado de;Psicólogo, psicoterapeuta o psiquiatra;Sí;4,80
Ambos sexos;Total Nacional;03 Asturias, Principado de;Psicólogo, psicoterapeuta o psiquiatra;No;95,20
Ambos sexos;Total Nacional;03 Asturias, Principado de;Enfermero/a o matrona;TOTAL;100,00
Ambos sexos;Total Nacional;03 Asturias, Principado de;Enfermero/a o matrona;Sí;13,56
Ambos sexos;Total Nacional;03 Asturias, Principado de;Enfermero/a o matrona;No;86,44
Ambos sexos;Total Nacional;04 Balears, Illes;Fisioterapeuta;TOTAL;100,00
Ambos sexos;Total Nacional;04 Balears, Illes;Fisioterapeuta;Sí;13,44
Ambos sexos;Total Nacional;04 Balears, Illes;Fisioterapeuta;No;86,56
Ambos sexos;Total Nacional;04 Balears, Illes;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Ambos sexos;Total Nacional;04 Balears, Illes;Psicólogo, psicoterapeuta o psiquiatra;Sí;3,43
Ambos sexos;Total Nacional;04 Balears, Illes;Psicólogo, psicoterapeuta o psiquiatra;No;96,57
Ambos sexos;Total Nacional;04 Balears, Illes;Enfermero/a o matrona;TOTAL;100,00
Ambos sexos;Total Nacional;04 Balears, Illes;Enfermero/a o matrona;Sí;5,21
Ambos sexos;Total Nacional;04 Balears, Illes;Enfermero/a o matrona;No;94,79
Ambos sexos;Total Nacional;05 Canarias;Fisioterapeuta;TOTAL;100,00
Ambos sexos;Total Nacional;05 Canarias;Fisioterapeuta;Sí;14,22
Ambos sexos;Total Nacional;05 Canarias;Fisioterapeuta;No;85,78
Ambos sexos;Total Nacional;05 Canarias;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Ambos sexos;Total Nacional;05 Canarias;Psicólogo, psicoterapeuta o psiquiatra;Sí;4,25
Ambos sexos;Total Nacional;05 Canarias;Psicólogo, psicoterapeuta o psiquiatra;No;95,75
Ambos sexos;Total Nacional;05 Canarias;Enfermero/a o matrona;TOTAL;100,00
Ambos sexos;Total Nacional;05 Canarias;Enfermero/a o matrona;Sí;16,61
Ambos sexos;Total Nacional;05 Canarias;Enfermero/a o matrona;No;83,39
Ambos sexos;Total Nacional;06 Cantabria;Fisioterapeuta;TOTAL;100,00
Ambos sexos;Total Nacional;06 Cantabria;Fisioterapeuta;Sí;15,82
Ambos sexos;Total Nacional;06 Cantabria;Fisioterapeuta;No;84,18
Ambos sexos;Total Nacional;06 Cantabria;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Ambos sexos;Total Nacional;06 Cantabria;Psicólogo, psicoterapeuta o psiquiatra;Sí;2,76
Ambos sexos;Total Nacional;06 Cantabria;Psicólogo, psicoterapeuta o psiquiatra;No;97,24
Ambos sexos;Total Nacional;06 Cantabria;Enfermero/a o matrona;TOTAL;100,00
Ambos sexos;Total Nacional;06 Cantabria;Enfermero/a o matrona;Sí;2,76
Ambos sexos;Total Nacional;06 Cantabria;Enfermero/a o matrona;No;97,24
Ambos sexos;Total Nacional;07 Castilla y León;Fisioterapeuta;TOTAL;100,00
Ambos sexos;Total Nacional;07 Castilla y León;Fisioterapeuta;Sí;23,03
Ambos sexos;Total Nacional;07 Castilla y León;Fisioterapeuta;No;76,97
Ambos sexos;Total Nacional;07 Castilla y León;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
